
Instance: ORTEC-VRPTW-ASYM-50d3c13c-d1-n335-k28.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 452374
Instance: ORTEC-VRPTW-ASYM-52f4e342-d1-n301-k16.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 522624
Instance: ORTEC-VRPTW-ASYM-5525d5a9-d1-n255-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 247027
Instance: ORTEC-VRPTW-ASYM-53ac3334-d1-n285-k21.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 232775
Instance: ORTEC-VRPTW-ASYM-53690b3c-d1-n321-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 506913
Instance: ORTEC-VRPTW-ASYM-574c9314-d1-n288-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 560377
Instance: ORTEC-VRPTW-ASYM-5b9c2a77-d1-n284-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 599111
Instance: ORTEC-VRPTW-ASYM-5d8fd227-d1-n211-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 307871
Instance: ORTEC-VRPTW-ASYM-64f72f5d-d1-n225-k16.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 430008
Instance: ORTEC-VRPTW-ASYM-68e134ef-d1-n267-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 490384
Instance: ORTEC-VRPTW-ASYM-56c07872-d1-n309-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 398264
Instance: ORTEC-VRPTW-ASYM-62980c46-d1-n254-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 347912
Instance: ORTEC-VRPTW-ASYM-60a623ab-d1-n329-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 515249
Instance: ORTEC-VRPTW-ASYM-6c6190a5-d1-n323-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 353957
Instance: ORTEC-VRPTW-ASYM-6ed7e774-d1-n313-k19.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 325182
Instance: ORTEC-VRPTW-ASYM-6563cca6-d1-n381-k28.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 259593
Instance: ORTEC-VRPTW-ASYM-6d6b508e-d1-n413-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 365745
Instance: ORTEC-VRPTW-ASYM-6650f64e-d1-n586-k32.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:42, Cost_of_solution: 445454
Instance: ORTEC-VRPTW-ASYM-4da724b1-d1-n393-k30.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:43, Cost_of_solution: 470491
Instance: ORTEC-VRPTW-ASYM-7101755b-d1-n514-k31.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:46, Cost_of_solution: 471240
Instance: ORTEC-VRPTW-ASYM-4fe9435f-d1-n418-k28.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:50, Cost_of_solution: 499475
Instance: ORTEC-VRPTW-ASYM-617e20d7-d1-n203-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 362105
Instance: ORTEC-VRPTW-ASYM-5c968166-d1-n320-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 430916
Instance: ORTEC-VRPTW-ASYM-55a26fb1-d1-n326-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 571945
Instance: ORTEC-VRPTW-ASYM-6656ccd2-d1-n310-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 328334
Instance: ORTEC-VRPTW-ASYM-57242a8c-d1-n309-k19.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 330045
Instance: ORTEC-VRPTW-ASYM-5fa16580-d1-n329-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 436384
Instance: ORTEC-VRPTW-ASYM-640de60f-d1-n318-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 631620
Instance: ORTEC-VRPTW-ASYM-6aedfe61-d1-n308-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 443416
Instance: ORTEC-VRPTW-ASYM-715940dc-d1-n381-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:39, Cost_of_solution: 485399
Instance: ORTEC-VRPTW-ASYM-6f54fdb4-d1-n392-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:40, Cost_of_solution: 464412
Instance: ORTEC-VRPTW-ASYM-77a8b324-d1-n330-k23.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:47:47, Cost_of_solution: 453349
Instance: ORTEC-VRPTW-ASYM-7a65458b-d1-n326-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:48:37, Cost_of_solution: 335699
Instance: ORTEC-VRPTW-ASYM-77e75b62-d1-n227-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:48:37, Cost_of_solution: 489939
Instance: ORTEC-VRPTW-ASYM-798171b0-d1-n273-k21.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:48:37, Cost_of_solution: 227581
Instance: ORTEC-VRPTW-ASYM-7ca2d255-d1-n339-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:48:37, Cost_of_solution: 374167
Instance: ORTEC-VRPTW-ASYM-5e5904f3-d1-n203-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:48:37, Cost_of_solution: 492218
Instance: ORTEC-VRPTW-ASYM-7b8058ef-d1-n299-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:48:37, Cost_of_solution: 379377
Instance: ORTEC-VRPTW-ASYM-6199a008-d1-n220-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:48:37, Cost_of_solution: 616733
Instance: ORTEC-VRPTW-ASYM-752be4a9-d1-n372-k24.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:49:35, Cost_of_solution: 467415
Instance: ORTEC-VRPTW-ASYM-71cec69e-d1-n277-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:49:35, Cost_of_solution: 358308
Instance: ORTEC-VRPTW-ASYM-7610508a-d1-n230-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:49:40, Cost_of_solution: 723453
Instance: ORTEC-VRPTW-ASYM-7a80cc21-d1-n214-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:50:33, Cost_of_solution: 314255
Instance: ORTEC-VRPTW-ASYM-7d3e0a2b-d1-n307-k28.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:51:32, Cost_of_solution: 234763
Instance: ORTEC-VRPTW-ASYM-7e181d8a-d1-n305-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:51:40, Cost_of_solution: 327702
Instance: ORTEC-VRPTW-ASYM-7ef1213a-d1-n292-k23.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:51:40, Cost_of_solution: 365032
Instance: ORTEC-VRPTW-ASYM-7ebadc2f-d1-n237-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:51:40, Cost_of_solution: 240045
Instance: ORTEC-VRPTW-ASYM-83a6eaf5-d1-n225-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 302325
Instance: ORTEC-VRPTW-ASYM-8083ca8d-d1-n313-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 321554
Instance: ORTEC-VRPTW-ASYM-7f162df6-d1-n293-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 332879
Instance: ORTEC-VRPTW-ASYM-7f658fd0-d1-n335-k22.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 404695
Instance: ORTEC-VRPTW-ASYM-82340194-d1-n270-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 233771
Instance: ORTEC-VRPTW-ASYM-7d333c6d-d1-n338-k24.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 452850
Instance: ORTEC-VRPTW-ASYM-886856a8-d1-n455-k45.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 358953
Instance: ORTEC-VRPTW-ASYM-7fb5f610-d1-n532-k40.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 391586
Instance: ORTEC-VRPTW-ASYM-7f99f05a-d1-n528-k40.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:30, Cost_of_solution: 338709
Instance: ORTEC-VRPTW-ASYM-8b1620d9-d1-n346-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:31, Cost_of_solution: 402000
